,flight_date,flight_status,aircraft,live,departure.airport,departure.timezone,departure.iata,departure.icao,departure.terminal,departure.gate,departure.delay,departure.scheduled,departure.estimated,departure.actual,departure.estimated_runway,departure.actual_runway,arrival.airport,arrival.timezone,arrival.iata,arrival.icao,arrival.terminal,arrival.gate,arrival.baggage,arrival.delay,arrival.scheduled,arrival.estimated,arrival.actual,arrival.estimated_runway,arrival.actual_runway,airline.name,airline.iata,airline.icao,flight.number,flight.iata,flight.icao,flight.codeshared,aircraft.registration,aircraft.iata,aircraft.icao,aircraft.icao24,live.updated,live.latitude,live.longitude,live.altitude,live.direction,live.speed_horizontal,live.speed_vertical,live.is_ground
70,2022-04-03,active,,,Dallas/Fort Worth International,America/Chicago,DFW,KDFW,D,D36,16.0,2022-04-03T12:40:00+00:00,2022-04-03T12:40:00+00:00,2022-04-03T12:56:00+00:00,2022-04-03T12:56:00+00:00,2022-04-03T12:56:00+00:00,Lambert-St. Louis International,America/Chicago,STL,KSTL,1,C10,,,2022-04-03T14:28:00+00:00,2022-04-03T14:28:00+00:00,,,,American Airlines,AA,AAL,2747,AA2747,AAL2747,,,,,,,,,,,,,
71,2022-04-03,active,,,Dallas/Fort Worth International,America/Chicago,DFW,KDFW,A,A14,278.0,2022-04-03T07:09:00+00:00,2022-04-03T07:09:00+00:00,,,,Hopkins International,America/New_York,CLE,KCLE,C,C3,8,,2022-04-03T10:49:00+00:00,2022-04-03T10:49:00+00:00,,,,American Airlines,AA,AAL,2331,AA2331,AAL2331,,,,,,,,,,,,,
72,2022-04-03,landed,,,Dallas/Fort Worth International,America/Chicago,DFW,KDFW,B,B6,11.0,2022-04-03T07:08:00+00:00,2022-04-03T07:08:00+00:00,2022-04-03T07:18:00+00:00,2022-04-03T07:18:00+00:00,2022-04-03T07:18:00+00:00,Mc Carran International,America/Los_Angeles,LAS,KLAS,1,D10,15,,2022-04-03T08:07:00+00:00,2022-04-03T08:07:00+00:00,2022-04-03T07:48:00+00:00,2022-04-03T07:48:00+00:00,2022-04-03T07:48:00+00:00,American Airlines,AA,AAL,2473,AA2473,AAL2473,,N152AA,A321,A321,A0D19E,,,,,,,,
73,2022-04-03,landed,,,Dallas/Fort Worth International,America/Chicago,DFW,KDFW,B,B15,5.0,2022-04-03T07:07:00+00:00,2022-04-03T07:07:00+00:00,2022-04-03T07:12:00+00:00,2022-04-03T07:12:00+00:00,2022-04-03T07:12:00+00:00,Eppley Airfield,America/Chicago,OMA,KOMA,4,A7,,,2022-04-03T09:02:00+00:00,2022-04-03T09:02:00+00:00,2022-04-03T08:38:00+00:00,2022-04-03T08:38:00+00:00,2022-04-03T08:38:00+00:00,American Airlines,AA,AAL,4199,AA4199,AAL4199,,,,,,,,,,,,,
74,2022-04-03,landed,,,Dallas/Fort Worth International,America/Chicago,DFW,KDFW,B,B12,22.0,2022-04-03T07:06:00+00:00,2022-04-03T07:06:00+00:00,2022-04-03T07:27:00+00:00,2022-04-03T07:27:00+00:00,2022-04-03T07:27:00+00:00,George Bush Intercontinental,America/Chicago,IAH,KIAH,A,26,2,10.0,2022-04-03T08:19:00+00:00,2022-04-03T08:19:00+00:00,2022-04-03T08:28:00+00:00,2022-04-03T08:28:00+00:00,2022-04-03T08:28:00+00:00,American Airlines,AA,AAL,1619,AA1619,AAL1619,,,,,,,,,,,,,
75,2022-04-03,landed,,,Dallas/Fort Worth International,America/Chicago,DFW,KDFW,B,B25,31.0,2022-04-03T07:05:00+00:00,2022-04-03T07:05:00+00:00,2022-04-03T07:36:00+00:00,2022-04-03T07:36:00+00:00,2022-04-03T07:36:00+00:00,Pensacola International Airport,America/Chicago,PNS,KPNS,N,5,2,5.0,2022-04-03T08:51:00+00:00,2022-04-03T08:51:00+00:00,2022-04-03T08:59:00+00:00,2022-04-03T08:59:00+00:00,2022-04-03T08:59:00+00:00,American Airlines,AA,AAL,5780,AA5780,AAL5780,,,,,,,,,,,,,
76,2022-04-03,landed,,,Dallas/Fort Worth International,America/Chicago,DFW,KDFW,C,C29,6.0,2022-04-03T07:05:00+00:00,2022-04-03T07:05:00+00:00,2022-04-03T07:11:00+00:00,2022-04-03T07:11:00+00:00,2022-04-03T07:11:00+00:00,San Antonio International,America/Chicago,SAT,KSAT,B,B4,B2,,2022-04-03T08:16:00+00:00,2022-04-03T08:16:00+00:00,2022-04-03T07:55:00+00:00,2022-04-03T07:55:00+00:00,2022-04-03T07:55:00+00:00,American Airlines,AA,AAL,2616,AA2616,AAL2616,,,,,,,,,,,,,
77,2022-04-03,landed,,,Dallas/Fort Worth International,America/Chicago,DFW,KDFW,A,A36,27.0,2022-04-03T07:05:00+00:00,2022-04-03T07:05:00+00:00,2022-04-03T07:31:00+00:00,2022-04-03T07:31:00+00:00,2022-04-03T07:31:00+00:00,Los Cabos,America/Mazatlan,SJD,MMSD,2,7,,,2022-04-03T09:06:00+00:00,2022-04-03T09:06:00+00:00,2022-04-03T08:59:00+00:00,2022-04-03T08:59:00+00:00,2022-04-03T08:59:00+00:00,American Airlines,AA,AAL,1324,AA1324,AAL1324,,,,,,,,,,,,,
78,2022-04-03,landed,,,Dallas/Fort Worth International,America/Chicago,DFW,KDFW,A,A11,15.0,2022-04-03T07:05:00+00:00,2022-04-03T07:05:00+00:00,2022-04-03T07:19:00+00:00,2022-04-03T07:19:00+00:00,2022-04-03T07:19:00+00:00,Austin-bergstrom International,America/Chicago,AUS,KAUS,N,34,3,,2022-04-03T08:10:00+00:00,2022-04-03T08:10:00+00:00,2022-04-03T07:53:00+00:00,2022-04-03T07:53:00+00:00,2022-04-03T07:53:00+00:00,American Airlines,AA,AAL,1176,AA1176,AAL1176,,,,,,,,,,,,,
79,2022-04-03,landed,,,Dallas/Fort Worth International,America/Chicago,DFW,KDFW,B,B27,16.0,2022-04-03T07:02:00+00:00,2022-04-03T07:02:00+00:00,2022-04-03T07:17:00+00:00,2022-04-03T07:17:00+00:00,2022-04-03T07:17:00+00:00,Louisville International (Standiford Field),America/Kentucky/Louisville,SDF,KSDF,B,B6,,,2022-04-03T10:07:00+00:00,2022-04-03T10:07:00+00:00,2022-04-03T09:56:00+00:00,2022-04-03T09:56:00+00:00,2022-04-03T09:56:00+00:00,American Airlines,AA,AAL,5823,AA5823,AAL5823,,,,,,,,,,,,,
